Murilo Barreto, 475.351.571-06, s/n Rua Arthur Gabriel Araújo, Jeriquara, BA 19405-879, 
Víctor Diegues, 788.163.278-04, Casa 0 54647 Ponte Ígor, Bálsamo, AC 54503-915, 
Dra. Enzo Miguel Barreto, 767.453.155-48, Quadra 12 335 Rodovia Carla Ramires, Caiapônia, GO 34738-572, 
Clarice Passarinho Jr., 618.640.800-00, Apto. 192 s/n Viela Calebe, Piúma, MT 76149-173, 
Ana Sophia Castro, 637.041.447-62, Quadra 53 29367 Rua Erick Lopes, Nossa Senhora Aparecida, SC 54064-864, 
Mariana Carvalheira, 643.145.811-74, Casa 3 3124 Viela Ana Júlia Corte, Posse, RO 64445-942, 
Lorenzo Cerqueira, 200.323.128-57, Sobrado 39 s/n Alameda Yuri Aroeira, Orindiúva, AL 69656-765, 
Maitê da Nóbrega, 840.701.168-18, 119 Alameda Maria Cecília, Vitória Brasil, MG 33406-502, 
Mariah Pereira Jr., 584.270.630-08, 81080 Avenida Sirineu, Santa Filomena do Maranhão, MA 10178-082, 
Sr. Esther Lima, 815.855.253-67, 7927 Avenida Pérola, Paulistânia, ES 14638-403, 
Thiago Vidal, 412.706.002-65, 32261 Rua Frederico da Barra, Itambé, SC 11442-750, 
João Victor Modesto, 813.513.555-62, Apto. 532 s/n Alameda Beatriz da Cruz, Baliza, PE 61087-335, 
Sarah Nogueira, 588.583.176-96, 267 Alameda Olívia Bouças, Inimutaba, ES 77879-730, 
Dra. Eloah da Barra, 704.484.671-86, Casa 2 8651 Viela Yago Limeira, Jaçanã, RJ 81372-664, 
Carla Braga, 536.175.151-00, 981 Ponte Ana Sophia Viveiros, Quedas do Iguaçu, MG 55962-653, 
Cecília da Costa, 113.301.153-50, 15009 Rua Yasmin Brites, Itajaí, BA 82905-006, 
Ayla Siqueiro, 702.561.780-62, 2701 Viela Lorenzo, Itapirapuã Paulista, BA 96775-395, 
